id,agent,time,score
1035,4,44,900
1036,4,50,1200
1037,4,11,-500
1038,4,82,3700
1039,4,14,-500
1040,4,189,10300
1041,4,12,-1000
1042,4,13,-1000
1043,4,17,-800
1044,4,20,-1000
1045,4,31,700
1046,4,34,500
1047,4,67,2900
1048,4,14,-1000
1049,4,14,-300
