id,agent,time,score
698,3,21,-300

699,3,3,-1000

700,3,19,-500

701,3,25,-300

702,3,29,100

703,3,49,600

704,3,33,500

705,3,14,-500

706,3,23,-100

707,3,4,-500

708,3,17,-500

709,3,25,500

710,3,19,-500

711,3,14,-500

712,3,21,-300

713,3,19,-1000

714,3,20,-1000

715,3,42,600

716,3,18,-500

717,3,0,-1000

718,3,14,-500

719,3,17,-300

720,3,18,-1000

721,3,20,-500

722,3,27,-400

723,3,33,900

724,3,13,-500

725,3,17,-500

726,3,34,200

727,3,38,400

728,3,22,-300

729,3,34,600

730,3,35,500

731,3,46,1000

732,3,14,-1000

733,3,34,700

734,3,39,1300

735,3,11,-500

736,3,22,-600

737,3,51,2500

738,3,18,-500

739,3,95,4800

740,3,7,-500

741,3,25,-200

742,3,17,-300

743,3,16,-500

744,3,22,-100

745,3,11,-1000

746,3,25,-600

747,3,67,3100

748,3,5,-1000

749,3,3,-1000

750,3,14,-500

751,3,27,-100

752,3,17,-1000

753,3,17,-1000

754,3,23,-100

755,3,17,-100

756,3,24,-300

757,3,12,-1000

758,3,12,-500

759,3,27,300

760,3,25,-300

761,3,90,4700

762,3,17,-300

763,3,15,-500

764,3,21,-1000

765,3,20,-300

766,3,22,-400

767,3,19,-1000

768,3,26,-600

769,3,27,200

770,3,19,-300

771,3,45,1200

772,3,10,-1000

773,3,99,5300

774,3,18,-300

775,3,18,-1000

776,3,17,-500

777,3,19,-1000

778,3,17,-1000

779,3,15,-500

780,3,39,1000

781,3,7,-1000

782,3,15,-500

783,3,21,-500

784,3,3,-500

785,3,21,-600

786,3,31,100

787,3,25,0

788,3,8,-1000

789,3,20,-300

790,3,15,-1000

791,3,17,-500

792,3,37,900

793,3,42,1500

794,3,13,-500

795,3,31,600

796,3,26,-100

797,3,18,-800

798,3,22,-1000

799,3,7,-500

800,3,12,-1000

801,3,19,-1000

802,3,6,-1000

803,3,20,-500

804,3,19,-1000

805,3,25,-100

806,3,23,-300

807,3,18,-300

808,3,8,-500

809,3,31,900

810,3,31,100

811,3,29,300

812,3,47,1200

813,3,26,-100

814,3,7,-1000

815,3,17,-500

816,3,2,-500

817,3,15,-500

818,3,16,-1000

819,3,44,1100

820,3,25,-300

821,3,8,-1000

822,3,19,-1000

823,3,16,-1000

824,3,18,-1000

825,3,10,-500

826,3,19,-800

827,3,25,-100

828,3,17,-1000

829,3,15,-500

830,3,20,-500

831,3,13,-500

832,3,16,-1000

833,3,18,-300

834,3,14,-500

835,3,36,1300

836,3,15,-500

837,3,17,-500

838,3,28,200

839,3,20,-300

840,3,28,-100

841,3,11,-500

842,3,9,-500

843,3,17,-500

844,3,22,-300

845,3,8,-500

846,3,42,700

847,3,64,1800

848,3,2,-1000

849,3,41,1700

850,3,14,-1000

851,3,16,-500

852,3,23,-400

853,3,18,-1000

854,3,12,-1000

855,3,22,-800

856,3,20,-300

857,3,17,-500

858,3,11,-1000

859,3,7,-500

860,3,27,-800

861,3,19,-500

862,3,18,-500

863,3,11,-500

864,3,22,-300

865,3,13,-1000

866,3,21,-800

867,3,21,-800

868,3,15,-500

869,3,25,-100

870,3,7,-1000

871,3,11,-1000

872,3,35,900

873,3,28,500

874,3,25,-800

875,3,18,-800

876,3,24,-300

877,3,20,-500

878,3,24,-100

879,3,13,-500

880,3,16,-300

881,3,23,-100

882,3,24,-400

883,3,18,-800

884,3,23,-500

885,3,27,-200

886,3,18,-500

887,3,31,300

888,3,78,3200

889,3,13,-500

890,3,21,-800

891,3,21,-1000

892,3,9,-1000

893,3,36,1300

894,3,13,-1000

895,3,19,-1000

896,3,14,-500

897,3,17,-500

898,3,17,-300

899,3,5,-500

900,3,22,-500

901,3,22,-1000

902,3,23,-300

903,3,16,-1000

904,3,24,-600

905,3,70,2800

906,3,11,-500

907,3,21,-500

908,3,15,-1000

909,3,4,-1000

910,3,21,-800

911,3,15,-500

912,3,16,-1000

913,3,31,500

914,3,15,-1000

915,3,18,-1000

916,3,20,-500

917,3,15,-500

918,3,71,2400

919,3,13,-500

920,3,16,-1000

921,3,1,-1000

922,3,20,-400

923,3,40,800

924,3,25,-500

925,3,15,-1000

926,3,47,1700

927,3,35,200

928,3,29,100

929,3,50,1600

930,3,21,-100

931,3,12,-500

932,3,17,-500

933,3,39,1500

934,3,10,-500

935,3,16,-1000

936,3,38,700

937,3,21,-1000

938,3,34,200

939,3,58,2400

940,3,27,-400

941,3,17,-500

942,3,9,-1000

943,3,18,-500

944,3,21,-1000

945,3,16,-500

946,3,12,-1000

947,3,17,-300

948,3,21,-800

949,3,22,-300

950,3,12,-500

951,3,17,-800

952,3,4,-1000

953,3,22,-800

954,3,6,-1000

955,3,21,-500

956,3,22,-1000

957,3,25,-400

958,3,49,1100

959,3,18,-800

960,3,15,-300

961,3,34,600

962,3,19,-500

963,3,43,1000

964,3,16,-500

965,3,29,500

966,3,21,-300

967,3,18,-1000

968,3,24,-500

969,3,23,-1000

970,3,22,-300

971,3,17,-1000

972,3,14,-1000

973,3,19,-1000

974,3,15,-500

975,3,20,-300

976,3,20,-500

977,3,19,-600

978,3,28,700

979,3,34,100

980,3,28,0

981,3,15,-500

982,3,25,-600

983,3,40,700

984,3,22,-400

985,3,40,800

986,3,18,-500

987,3,13,-1000

988,3,17,-1000

989,3,7,-500

990,3,50,1700

991,3,0,-1000

992,3,6,-1000

993,3,26,100

994,3,15,-1000

995,3,36,500

996,3,19,-800

997,3,19,-800

998,3,15,-500

999,3,35,500

1000,3,11,-500

1001,3,20,-1000

1002,3,18,-800

1003,3,23,-400

1004,3,42,1200

